danceability,valence,energy,cluster
0.47,0.503,0.978,5
0.599,0.489,0.957,5
0.315,0.37,0.97,0
0.44,0.574,0.967,5
0.426,0.539,0.929,5
0.298,0.194,0.848,0
0.417,0.483,0.976,5
0.277,0.618,0.873,5
0.441,0.418,0.882,0
0.448,0.761,0.861,5
0.456,0.656,0.704,5
0.399,0.174,0.965,0
0.478,0.668,0.855,5
0.457,0.734,0.779,5
0.542,0.301,0.842,0
0.516,0.29,0.533,2
0.418,0.447,0.806,0
0.574,0.613,0.765,5
0.411,0.573,0.823,5
0.52,0.608,0.755,5
0.525,0.47,0.597,2
0.499,0.531,0.613,3
0.787,0.962,0.903,1
0.587,0.832,0.958,1
0.565,0.461,0.781,5
0.651,0.37,0.567,2
0.833,0.974,0.805,1
0.782,0.898,0.619,3
0.605,0.705,0.921,5
0.679,0.965,0.891,1
0.61,0.672,0.744,5
0.705,0.795,0.769,5
0.77,0.656,0.55,3
0.611,0.684,0.61,3
0.8,0.347,0.552,2
0.593,0.791,0.95,1
0.61,0.641,0.883,5
0.741,0.593,0.632,3
0.645,0.683,0.513,3
0.641,0.383,0.445,2
0.543,0.304,0.56,2
0.77,0.596,0.757,5
0.77,0.44,0.288,2
0.717,0.692,0.616,3
0.564,0.374,0.395,2
0.79,0.945,0.83,1
0.545,0.796,0.689,3
0.521,0.894,0.814,1
0.697,0.336,0.234,2
0.417,0.307,0.365,4
0.695,0.372,0.312,2
0.584,0.438,0.611,2
0.562,0.242,0.303,4
0.559,0.743,0.313,3
0.459,0.384,0.334,2
0.613,0.174,0.294,4
0.568,0.76,0.307,3
0.536,0.306,0.219,2
0.586,0.968,0.742,1
0.576,0.437,0.494,2
0.605,0.888,0.463,3
0.553,0.399,0.413,2
0.533,0.197,0.319,4
0.448,0.427,0.584,2
0.465,0.233,0.375,4
0.496,0.227,0.15,4
0.685,0.611,0.432,3
0.678,0.685,0.49,3
0.591,0.149,0.299,4
0.592,0.573,0.55,3
0.459,0.18,0.401,4
0.485,0.223,0.295,4
0.55,0.642,0.663,3
0.618,0.241,0.415,2
0.444,0.327,0.392,2
0.457,0.229,0.49,4
0.276,0.261,0.224,4
0.729,0.636,0.587,3
0.778,0.704,0.529,3
0.558,0.349,0.319,2
0.549,0.19,0.162,4
0.602,0.549,0.685,3
0.654,0.475,0.26,2
0.691,0.33,0.267,2
0.627,0.148,0.126,4
0.426,0.205,0.133,4
0.362,0.213,0.306,4
0.402,0.229,0.141,4
0.378,0.342,0.835,0
0.484,0.356,0.747,0
0.332,0.19,0.656,4
0.378,0.414,0.895,0
0.316,0.793,0.916,1
0.509,0.442,0.603,2
0.548,0.783,0.949,1
0.633,0.809,0.907,1
0.615,0.696,0.894,5
0.572,0.643,0.969,5
0.602,0.848,0.911,-1
