danceability,energy,cluster
0.47,0.978,0
0.599,0.957,0
0.315,0.97,0
0.44,0.967,0
0.426,0.929,0
0.298,0.848,0
0.417,0.976,0
0.277,0.873,0
0.441,0.882,0
0.448,0.861,0
0.456,0.704,0
0.399,0.965,0
0.478,0.855,0
0.457,0.779,0
0.542,0.842,0
0.516,0.533,2
0.418,0.806,0
0.574,0.765,0
0.411,0.823,0
0.52,0.755,0
0.525,0.597,2
0.499,0.613,2
0.787,0.903,0
0.587,0.958,0
0.565,0.781,0
0.651,0.567,2
0.833,0.805,2
0.782,0.619,2
0.605,0.921,0
0.679,0.891,0
0.61,0.744,2
0.705,0.769,2
0.77,0.55,2
0.611,0.61,2
0.8,0.552,2
0.593,0.95,0
0.61,0.883,0
0.741,0.632,2
0.645,0.513,2
0.641,0.445,2
0.543,0.56,2
0.77,0.757,2
0.77,0.288,1
0.717,0.616,2
0.564,0.395,1
0.79,0.83,2
0.545,0.689,2
0.521,0.814,0
0.697,0.234,1
0.417,0.365,1
0.695,0.312,1
0.584,0.611,2
0.562,0.303,1
0.559,0.313,1
0.459,0.334,1
0.613,0.294,1
0.568,0.307,1
0.536,0.219,1
0.586,0.742,2
0.576,0.494,2
0.605,0.463,2
0.553,0.413,1
0.533,0.319,1
0.448,0.584,2
0.465,0.375,1
0.496,0.15,1
0.685,0.432,2
0.678,0.49,2
0.591,0.299,1
0.592,0.55,2
0.459,0.401,1
0.485,0.295,1
0.55,0.663,2
0.618,0.415,1
0.444,0.392,1
0.457,0.49,2
0.276,0.224,1
0.729,0.587,2
0.778,0.529,2
0.558,0.319,1
0.549,0.162,1
0.602,0.685,2
0.654,0.26,1
0.691,0.267,1
0.627,0.126,1
0.426,0.133,1
0.362,0.306,1
0.402,0.141,1
0.378,0.835,0
0.484,0.747,0
0.332,0.656,0
0.378,0.895,0
0.316,0.916,0
0.509,0.603,2
0.548,0.949,0
0.633,0.907,0
0.615,0.894,0
0.572,0.969,0
0.602,0.911,0
